subset_name,fold,model_name,evaluation_view,metric_name,metric_value,summary_level
secondary_sty_flow_conversion,1.0,small_mlp,conversion_space,rmse,0.15979280769178414,fold
secondary_sty_flow_conversion,1.0,small_mlp,conversion_space,r2,-272.86006620933034,fold
secondary_sty_flow_conversion,2.0,kinetic_anchor,target_space,mae,0.0019228795189281521,fold
secondary_sty_flow_conversion,2.0,kinetic_anchor,target_space,rmse,0.002418265084903835,fold
secondary_sty_flow_conversion,2.0,kinetic_anchor,target_space,r2,0.8442161347157321,fold
secondary_sty_flow_conversion,2.0,kinetic_anchor,conversion_space,mae,0.0018725329550440908,fold
secondary_sty_flow_conversion,2.0,kinetic_anchor,conversion_space,rmse,0.0023539501284403253,fold
secondary_sty_flow_conversion,2.0,kinetic_anchor,conversion_space,r2,0.8446861894471889,fold
secondary_sty_flow_conversion,2.0,random_forest,target_space,mae,0.00334157536564885,fold
secondary_sty_flow_conversion,2.0,random_forest,target_space,rmse,0.00390946442869933,fold
secondary_sty_flow_conversion,2.0,random_forest,target_space,r2,0.5928549153148672,fold
secondary_sty_flow_conversion,2.0,random_forest,conversion_space,mae,0.0032596285588136235,fold
secondary_sty_flow_conversion,2.0,random_forest,conversion_space,rmse,0.00381208771499333,fold
secondary_sty_flow_conversion,2.0,random_forest,conversion_space,r2,0.5926747523963927,fold
secondary_sty_flow_conversion,2.0,small_mlp,target_space,mae,0.06819850687274312,fold
secondary_sty_flow_conversion,2.0,small_mlp,target_space,rmse,0.07368266181785729,fold
secondary_sty_flow_conversion,2.0,small_mlp,target_space,r2,-143.62563449963747,fold
secondary_sty_flow_conversion,2.0,small_mlp,conversion_space,mae,0.030273269329843696,fold
secondary_sty_flow_conversion,2.0,small_mlp,conversion_space,rmse,0.03521943524734334,fold
secondary_sty_flow_conversion,2.0,small_mlp,conversion_space,r2,-33.768050147267985,fold
secondary_sty_flow_conversion,3.0,kinetic_anchor,target_space,mae,0.0015340988496808134,fold
secondary_sty_flow_conversion,3.0,kinetic_anchor,target_space,rmse,0.0019068282905071706,fold
secondary_sty_flow_conversion,3.0,kinetic_anchor,target_space,r2,0.9432892553250293,fold
secondary_sty_flow_conversion,3.0,kinetic_anchor,conversion_space,mae,0.0014862579464623308,fold
secondary_sty_flow_conversion,3.0,kinetic_anchor,conversion_space,rmse,0.0018482185231050016,fold
secondary_sty_flow_conversion,3.0,kinetic_anchor,conversion_space,r2,0.9432066852110124,fold
secondary_sty_flow_conversion,3.0,random_forest,target_space,mae,0.004244788854980744,fold
secondary_sty_flow_conversion,3.0,random_forest,target_space,rmse,0.004663005676215765,fold
secondary_sty_flow_conversion,3.0,random_forest,target_space,r2,0.6608638661024759,fold
secondary_sty_flow_conversion,3.0,random_forest,conversion_space,mae,0.004114767507715822,fold
secondary_sty_flow_conversion,3.0,random_forest,conversion_space,rmse,0.004516067321624696,fold
secondary_sty_flow_conversion,3.0,random_forest,conversion_space,r2,0.6609128007717888,fold
secondary_sty_flow_conversion,3.0,small_mlp,target_space,mae,0.07850071165867248,fold
secondary_sty_flow_conversion,3.0,small_mlp,target_space,rmse,0.09187214260670588,fold
secondary_sty_flow_conversion,3.0,small_mlp,target_space,r2,-130.64666651643776,fold
secondary_sty_flow_conversion,3.0,small_mlp,conversion_space,mae,0.026206655322076302,fold
secondary_sty_flow_conversion,3.0,small_mlp,conversion_space,rmse,0.02721593025691371,fold
secondary_sty_flow_conversion,3.0,small_mlp,conversion_space,r2,-11.315071768229476,fold
secondary_sty_flow_conversion,4.0,kinetic_anchor,target_space,mae,0.002808364811747552,fold
secondary_sty_flow_conversion,4.0,kinetic_anchor,target_space,rmse,0.0035023060562591373,fold
secondary_sty_flow_conversion,4.0,kinetic_anchor,target_space,r2,0.5720423210928587,fold
secondary_sty_flow_conversion,4.0,kinetic_anchor,conversion_space,mae,0.002749695151651103,fold
secondary_sty_flow_conversion,4.0,kinetic_anchor,conversion_space,rmse,0.0034235502355152788,fold
secondary_sty_flow_conversion,4.0,kinetic_anchor,conversion_space,r2,0.573578774675781,fold
secondary_sty_flow_conversion,4.0,random_forest,target_space,mae,0.0033189616802801803,fold
secondary_sty_flow_conversion,4.0,random_forest,target_space,rmse,0.003849059457222374,fold
secondary_sty_flow_conversion,4.0,random_forest,target_space,r2,0.4831055456924105,fold
secondary_sty_flow_conversion,4.0,random_forest,conversion_space,mae,0.0032488235842173213,fold
secondary_sty_flow_conversion,4.0,random_forest,conversion_space,rmse,0.0037669351627881357,fold
secondary_sty_flow_conversion,4.0,random_forest,conversion_space,r2,0.48374806290705097,fold
secondary_sty_flow_conversion,4.0,small_mlp,target_space,mae,0.18532064014047425,fold
secondary_sty_flow_conversion,4.0,small_mlp,target_space,rmse,0.18764356461152848,fold
secondary_sty_flow_conversion,4.0,small_mlp,target_space,r2,-1227.457064557024,fold
secondary_sty_flow_conversion,4.0,small_mlp,conversion_space,mae,0.16538208868121876,fold
secondary_sty_flow_conversion,4.0,small_mlp,conversion_space,rmse,0.1670393532690179,fold
secondary_sty_flow_conversion,4.0,small_mlp,conversion_space,r2,-1014.1331347742861,fold
primary_mma_flow_conversion,,kinetic_anchor,conversion_space,mae,0.0023282620715804592,metric_mean
primary_mma_flow_conversion,,kinetic_anchor,conversion_space,r2,0.9833314061959566,metric_mean
primary_mma_flow_conversion,,kinetic_anchor,conversion_space,rmse,0.002949695076396004,metric_mean
primary_mma_flow_conversion,,kinetic_anchor,target_space,mae,0.0024664554656882868,metric_mean
primary_mma_flow_conversion,,kinetic_anchor,target_space,r2,0.9833546197943496,metric_mean
primary_mma_flow_conversion,,kinetic_anchor,target_space,rmse,0.003102348044846812,metric_mean
primary_mma_flow_conversion,,random_forest,conversion_space,mae,0.005017115879677518,metric_mean
primary_mma_flow_conversion,,random_forest,conversion_space,r2,0.9204635151128535,metric_mean
primary_mma_flow_conversion,,random_forest,conversion_space,rmse,0.00614588940941397,metric_mean
primary_mma_flow_conversion,,random_forest,target_space,mae,0.005361747921207137,metric_mean
primary_mma_flow_conversion,,random_forest,target_space,r2,0.9170039099620759,metric_mean
primary_mma_flow_conversion,,random_forest,target_space,rmse,0.006633542296543093,metric_mean
primary_mma_flow_conversion,,small_mlp,conversion_space,mae,0.09488937063925348,metric_mean
primary_mma_flow_conversion,,small_mlp,conversion_space,r2,-25.38785810330904,metric_mean
primary_mma_flow_conversion,,small_mlp,conversion_space,rmse,0.10106910025896591,metric_mean
primary_mma_flow_conversion,,small_mlp,target_space,mae,0.12209999889864111,metric_mean
primary_mma_flow_conversion,,small_mlp,target_space,r2,-33.77167779570699,metric_mean
primary_mma_flow_conversion,,small_mlp,target_space,rmse,0.13075237718156144,metric_mean
secondary_sty_flow_conversion,,kinetic_anchor,conversion_space,mae,0.002144706401695138,metric_mean
secondary_sty_flow_conversion,,kinetic_anchor,conversion_space,r2,0.8136785847010699,metric_mean
secondary_sty_flow_conversion,,kinetic_anchor,conversion_space,rmse,0.002695165777225053,metric_mean
